11:Cao Bang/
12:Lang Son/
14:Quang Ninh/
15:16:Hai Phong/
17:Thai Binh/
18:Nam Dinh/
19:Phu Tho/
20:Thai Nguyen/
21:Yen Bai/
22:Tuyen Quang/
23:Ha Giang/
24:Lao Cai/
25:Lai Chau/
26:Son La/
27:Dien Bien/
28:Hoa Binh/
29:33:40:Ha Noi/
34:Hai Duong/
35:Ninh Binh/
36:Thanh Hoa/
37:Nghe An/
38:Ha Tinh/
39:60:Dong Nai/
41:50:51:52:53:54:55:56:57:58:59:Tp. Ho Chi Minh/
43:Tp. Da Nang/
47:Dak Lak/
48:Dak Nong/
49:Lam Dong/
61:Binh Duong/
62:Long An/
63:Tien Giang/
64:Vinh Long/
65:Can Tho/
66:Dong Thap/
67:An Giang/
68:Kien Giang/
69:Ca Mau/
70:Tay Ninh/
71:Ben Tre/
72:Ba Ria - Vung Tau/
73:Quang Binh/
74:Quang Tri/
75:Thua Thien Hue/
76:Quang Ngai/
77:Binh Dinh/
78:Phu Yen/
79:Khanh Hoa/
81:Gia Lai/
82:Kon Tum/
83:Soc Trang/
84:Tra Vinh/
85:Ninh Thuan/
86:Binh Thuan/
88:Vinh Phuc/
89:Hung Yen/
90:Ha Nam/
92:Quang Nam/
93:Binh Phuoc/
94:Bac Lieu/
95:Hau Giang/
97:Bac Can/
98:Bac Giang/
99:Bac Ninh/
